"Policy Effective Date","Submission Name","Submission Type","Production Office","Placing Broker","Line of Business","Client Name","Industry","Employees","Annual Revenue Currency","Annual Revenue","Stage","Lost/NTU Reason","Declined Reason","Production Region","Profit Center","100 Percent Policy Booked Premium Currency","100 Percent Policy Booked Premium","Assigned Underwriter","Effective Month","Last Modified Alias"
"3/1/2019","SD-PRO-ATL-19-1749301","New","Atlanta","ARS Latiff, LLC","Cyber Blend","Blue Valley Tele-Communications, Inc.","Telecommunications","82","USD","20923262.00","Pending","","","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/22/2019","SD-PRO-ATL-19-1774760","New","Atlanta","Capitol Special Risks, A Division Of SPG, LLC","Miscellaneous","Action Financial Services, LLC","Consulting","10","USD","826495.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/30/2019","SD-PRO-ATL-19-1765296","New","Atlanta","CRC Insurance Services Inc","Deductible","Mitchell and Hugeback Architects Inc.","Engineering","27","USD","5000000.00","Lost/NTU","Lost/NTU","","North America","Professional Liability - 20260","USD","95000.00","David Yost","Mar","sbatc"
"3/31/2019","SD-PRO-ATL-18-1659658","New","Atlanta","CRC Insurance Services Inc","Deductible","I-635 LBJ East Freeway","","0","USD","174000000.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/31/2019","SD-PRO-ATL-18-1671485","New","Atlanta","CRC Insurance Services Inc","Deductible","Mercantile Village","","0","USD","","Lost/NTU","Lost/NTU","","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/1/2019","SD-PRO-ATL-19-1741368","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Cyber Blend","Monroe DHH Holdings, LLC","Finance","0","USD","0.00","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/1/2019","SD-PRO-ATL-19-1763649","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Miscellaneous","Burroughs and Chapin","Other","1730","USD","440084542.00","Lost/NTU","Lost/NTU","","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/17/2019","SD-PRO-ATL-19-1723147","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Deductible","Production Builder Services, Inc","Engineering","52","USD","1217398.00","Declined","","Below Minimum Premium","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/31/2019","SD-PRO-ATL-18-1665845","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Deductible","Kansas City International Airport","","0","USD","","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/1/2019","SD-PRX-ATL-19-1736801","New","Atlanta","Aon Risk Services, Inc. of Florida","Cyber Blend","REPAY Holdings, LLC","","0","USD","","Declined","","Out of Appetite","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/21/2019","SD-PRX-ATL-19-1765290","New","Atlanta","Aon Risk Services, Inc. of Florida","Cyber Blend","FIRST DATA HOLDINGS, INC","Banking","150","USD","22098259.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/31/2019","SD-PRO-ATL-19-1755112","New","Atlanta","McGriff, Seibels & Williams, Inc","Miscellaneous","Hawaiian Electric Industries, Inc.","Utilities","3898","USD","2860849000.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/18/2019","SD-PRO-ATL-19-1722773","New","Nashville","CRC Insurance Services Inc","Deductible","Alliance Consulting Engineers, Inc","Engineering","25","USD","4555912.00","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/1/2019","SD-PRX-ATL-19-1734416","New","Atlanta","Willis Insurance Services of Georgia, Inc.","Cyber Blend","TECH DATA","Retail","14000","USD","36775011000.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/1/2019","SD-PRX-ATL-19-1735740","New","Atlanta","Peachtree Special Risk","Deductible","Argus Consulting Inc","Engineering","23","USD","5943648.00","Lost/NTU","Lost/NTU","","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/19/2019","SD-PRO-ATL-19-1739314","New","Atlanta","Peachtree Special Risk","Deductible","Schmidt Consulting Group, Inc","Consulting","26","USD","3491178.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/1/2019","SD-PRO-ATL-19-1734530","New","Atlanta","ALL RISKS LTD OF THE SOUTHEAST INC","Miscellaneous","JIMCO LLC","Other","2","USD","73130.00","Lost/NTU","Lost/NTU","","North America","Professional Liability - 20260","USD","24102.00","David Yost","Mar","sbatc"
"3/2/2019","SD-PRO-ATL-19-1748424","New","Atlanta","Socius Insurance Services, Inc.","Cyber Liability","Orlando Sports Holdings, LLC","Finance","2","USD","0.00","Lost/NTU","Lost/NTU","","North America","Professional Liability - 20260","USD","25000.00","David Yost","Mar","sbatc"
"3/1/2019","SD-PRO-ATL-19-1755064","New","Nashville","Willis of Tennessee, Inc.","Cyber Liability","Centerstone of America Inc.","Healthcare","5000","USD","16028027.00","Lost/NTU","Lost/NTU","","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/5/2019","SD-PRO-ATL-19-1767189","New","Atlanta","CRC Insurance Services Inc","Deductible","O'Donnell Dannwolf and Partners Architects, Inc","Engineering","9","USD","1092030.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/6/2019","SD-PRX-ATL-19-1731240","New","Atlanta","Agency Marketing Services Inc","Lawyers","Beggs & Lane, RLLP","Other","80","USD","11029375.00","Declined","","Below Minimum Premium","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/1/2019","SD-PRO-ATL-19-1732303","New","Atlanta","Founders Professional LLC","Cyber Liability","Empathic Practice, LLC","","0","USD","120000.00","Declined","","Out of Appetite","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/31/2019","SD-PRO-ATL-18-1665889","New","Atlanta","Ajax Specialty Insurance","Deductible","Elan Memorial Park Phase II","","0","USD","","Pending","","","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/22/2019","SD-PRO-ATL-19-1741258","New","Atlanta","AmWINS Brokerage of Florida - West Palm Beach","Deductible","Radise International, LC","Engineering","1","USD","36242.00","Declined","","Reservation Conflict","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/1/2019","SD-PRO-ATL-19-1732081","New","Atlanta","Insuretrust.Com LLC","Cyber Blend","Atlanta Computer Group, Inc.","Retail","25","USD","9994033.00","Declined","","Time Limitations","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/12/2019","SD-PRO-ATL-19-1748301","New","Atlanta","Insuretrust.Com LLC","Miscellaneous","Sound On Stage,Inc","Retail","14","USD","2692971.00","Lost/NTU","Lost/NTU","","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"3/15/2019","SD-PRO-ATL-19-1751642","New","Atlanta","Insuretrust.Com LLC","Cyber Blend","Constellation Digital Partners, LLC","Utilities","5","USD","229703.00","Declined","","Below Minimum Premium","North America","Professional Liability - 20260","USD","0.00","David Yost","Mar","sbatc"
"5/1/2019","SD-PRO-ATL-19-1798121","New","Atlanta","BROWN AND RIDING INSURANCE SERVICES INC.","Deductible","Chancey Design Partnership, Inc","Engineering","30","USD","5557680.00","Bound","","","North America","Professional Liability - 20260","USD","68628.00","David Yost","May","asale"
"5/1/2019","SD-PRX-NYC-19-1735249","Renewal","Atlanta","McGriff, Seibels & Williams, Inc.","Cyber Blend","WestRock Company","Manufacturing","45027","USD","14859700000.00","Bound","","","North America","Professional Liability - 20260","USD","51400.00","David Yost","May","asale"
"5/4/2019","SD-PRX-NYC-19-1737851","Renewal","Atlanta","Willis Insurance Services of Georgia, Inc.","Cyber Blend","World Fuel Services Corporation","Machinery","5000","USD","33695500000.00","Bound","","","North America","Professional Liability - 20260","USD","115266.00","David Yost","May","asale"
"5/15/2019","SD-PRO-ATL-19-1816379","Renewal","Atlanta","Socius Insurance Services, Inc.","Miscellaneous","Ventron Management LLC","Consulting","38","USD","6539652.00","Bound","","","North America","Professional Liability - 20260","USD","14136.00","David Yost","May","asale"
"5/1/2019","SD-PRO-ATL-19-1801482","New","Atlanta","Founders Professional LLC","Deductible","Graf Engineering LLC","Engineering","1","USD","36242.00","Declined","","Loss History","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/26/2019","SD-PRO-ATL-19-1820326","New","Atlanta","Founders Professional LLC","Miscellaneous","Maui Realty Company, Inc.","Other","27","USD","2017278.00","Declined","","Loss History","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/31/2019","SD-PRO-ATL-19-1798037","New","Atlanta","Founders Professional LLC","Miscellaneous","Resco Inc","Other","300","USD","17486384.00","Lost/NTU","Limits/Deductible","","North America","Professional Liability - 20260","USD","119753.00","David Yost","May","dyost"
"5/11/2019","SD-PRO-ATL-19-1810146","New","Atlanta","SCU","Miscellaneous","Omega National Title Agency, LLC","","0","USD","","Declined","","No Broker Response","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/1/2019","SD-PRO-ATL-19-1789640","New","Atlanta","CRC Insurance Services Inc","Deductible","Phoenix Testing & Inspection","Other","30","USD","3440821.00","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/1/2019","SD-PRO-ATL-19-1793777","New","Atlanta","CRC Insurance Services Inc","Deductible","G.E.C., Inc.","Engineering","200","USD","37291486.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","175000.00","David Yost","May","dyost"
"5/3/2019","SD-PRX-ATL-19-1784978","New","Atlanta","CRC Insurance Services Inc","Lawyers","Copeland, Cook, Taylor & Bush, P. A","Other","75","USD","9965028.00","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/9/2019","SD-PRO-ATL-19-1782745","New","Atlanta","CRC Insurance Services Inc","Deductible","MSA Architects Inc","Engineering","15","USD","1893866.00","Lost/NTU","Written By Admitted Co.","","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/15/2019","SD-PRO-ATL-19-1829448","New","Atlanta","CRC Insurance Services Inc","Deductible","The Power Source, PLLC","Engineering","8","USD","939746.00","Declined","","Below Minimum Premium","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/21/2019","SD-PRO-ATL-19-1810467","New","Atlanta","CRC Insurance Services Inc","Deductible","Mouton Long Turner Architects, An Architectural Corporation","Engineering","7","USD","1080068.00","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/24/2019","SD-PRO-ATL-19-1817663","New","Atlanta","CRC Insurance Services Inc","Deductible","Rhode Partners, Inc.","Engineering","1","USD","185356.00","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/2/2019","SD-PRX-ATL-19-1835164","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Miscellaneous","Bills & Stoll, LLP","Consulting","2","USD","580752.00","Bound","","","North America","Professional Liability - 20260","USD","8631.00","David Yost","May","dyost"
"5/5/2019","SD-PRO-ATL-19-1805052","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Miscellaneous","Dynacore Inc","Other","3","USD","181423.00","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/10/2019","SD-PRO-ATL-19-1837304","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Miscellaneous","SRI Management, LLC","Consulting","3","USD","288954.00","Declined","","Out of Appetite","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/24/2019","SD-PRO-ATL-19-1821432","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Miscellaneous","First Nationwide Title Agency of Texas, LLC","Not For Profit","5","USD","42600.00","Quoted","","","North America","Professional Liability - 20260","USD","11845.00","David Yost","May","dyost"
"5/29/2019","SD-PRO-ATL-19-1826809","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Miscellaneous","Pita Jungle Franchising Corp.","Retail","32","USD","1686331.00","Declined","","No Broker Response","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/29/2019","SD-PRO-ATL-19-1827800","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Cyber Blend","Atlantic Corporation of Wilmington, Inc.","Retail","900","USD","525141064.00","Quoted","","","North America","Professional Liability - 20260","USD","62500.00","David Yost","May","dyost"
"5/23/2019","SD-PRO-ATL-19-1789023","New","Atlanta","CRC Insurance Services Inc","Cyber Liability","Northstar Location Services, LLC","Finance","743","USD","65960274.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/23/2019","SD-PRX-ATL-19-1789024","New","Atlanta","CRC Insurance Services Inc","Cyber Liability","Northstar Location Services, LLC","Finance","743","USD","65960274.00","Declined","","No Broker Response","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/15/2019","SD-PRO-ATL-19-1811503","New","Nashville","R-T Specialty, LLC","Cyber Blend","Magic Leap, Inc.","Consulting","200","USD","163626590.00","Declined","","No Broker Response","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/5/2019","SD-PRX-ATL-19-1819384","New","Atlanta","Agency Marketing Services","Lawyers","Bush Ross, P.A.","Other","100","USD","20000000.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/31/2019","SD-PRO-ATL-19-1820572","New","Atlanta","Peachtree Special Risk","Deductible","R. A. Kamm & Associates, Inc","Engineering","92","USD","9960505.00","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/11/2019","SD-PRX-ATL-19-1810266","New","Atlanta","Socius Insurance Services, Inc.","Miscellaneous","Hunter Warfield, Inc.","Finance","130","USD","20853065.00","Declined","","No Broker Response","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/15/2019","SD-PRO-ATL-19-1813575","New","Atlanta","CRC Insurance Services Inc","Miscellaneous","Dog River Irrevocable Trust","Retail","3","USD","374144.00","Declined","","Loss History","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/1/2019","SD-PRO-ATL-19-1775073","New","Atlanta","Arthur J Gallagher & Co","Cyber Liability","Ruth's Hospitality Group, Inc","Retail","5408","USD","452334000.00","Lost/NTU","Client/Agent Request","","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/1/2019","SD-PRX-ATL-19-1775074","New","Atlanta","Arthur J Gallagher & Co","Cyber Liability","Ruth's Hospitality Group, Inc","Retail","5408","USD","452334000.00","Lost/NTU","Client/Agent Request","","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/1/2019","SD-PRO-ATL-19-1824634","New","Atlanta","Edgewood Partners Insurance Center (EPIC)","Deductible","RG Miller Engineers, Inc.","Engineering","80","USD","13027557.00","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/3/2019","SD-PRO-ATL-19-1799205","New","Atlanta","Insuretrust.Com LLC","Cyber Liability","Direct Energy US Home Services, Inc.","","0","USD","145000000.00","Declined","","Nature of Insured's Business","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/3/2019","SD-PRO-ATL-19-1799255","New","Atlanta","Insuretrust.Com LLC","Cyber Blend","Algolia Inc.","Technology","60","USD","9184521.00","Declined","","No Broker Response","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/5/2019","SD-PRO-ATL-19-1785001","New","Atlanta","Insuretrust.Com LLC","Miscellaneous","Merlot Management Inc.","Other","3","USD","605768.00","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/15/2019","SD-PRO-ATL-19-1791808","New","Atlanta","Insuretrust.Com LLC","Cyber Liability","Clallam County Public Hospital District No.2","Healthcare","1000","USD","160106368.00","Declined","","No Broker Response","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/22/2019","SD-PRO-ATL-19-1819306","New","Atlanta","Insuretrust.Com LLC","Cyber Blend","Medical Care Solutions, LLC","Healthcare","3","USD","42037.00","Quoted","","","North America","Professional Liability - 20260","USD","16647.00","David Yost","May","dyost"
"5/29/2019","SD-PRO-ATL-19-1811347","New","Atlanta","Insuretrust.Com LLC","Cyber Liability","Live Oak Banking Company","Banking","30","USD","266841000.00","Lost/NTU","Agent Lost Account","","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/31/2019","SD-PRO-ATL-19-1799458","New","Atlanta","Insuretrust.Com LLC","Miscellaneous","Joseph A. Del Forno Inc.","Other","28","USD","2831803.00","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","May","dyost"
"5/1/2018","SD-PRO-ATL-18-1397112","Renewal","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Miscellaneous","HDC North Beach Real Estate Co.","Hospitality","82","USD","2116793.00","Working","","","North America","Professional Liability - 20260","USD","0.00","David Yost","May","iguma"
"5/14/2019","SD-PRO-ATL-19-1800247","New","Nashville","Worldwide Facilities, LLC","Miscellaneous","Alco Management, Inc.","Other","250","USD","8691354.00","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","May","jkris"
"5/3/2019","SD-PRX-ATL-19-1737276","Renewal","Atlanta","McGriff, Seibels & Williams, Inc.","Lawyers","TAYLOR ENGLISH DUMA LLP","Other","89","USD","18843869.00","Bound","","","North America","Professional Liability - 20260","USD","95400.00","David Yost","May","kciap"
"5/31/2019","SD-PRO-ATL-19-1766101","Renewal","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Miscellaneous","Atlantic Realty Partners","Other","143","USD","13711355.00","Bound","","","North America","Professional Liability - 20260","USD","32501.00","David Yost","May","kciap"
"5/15/2019","SD-PRO-ATL-19-1813394","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Deductible","Sabre Industries, Inc.","Manufacturing","250","USD","15583986.00","Declined","","Out of Appetite","North America","Professional Liability - 20260","USD","0.00","David Yost","May","kgoss"
"5/6/2019","SD-PRO-ATL-19-1806051","New","Nashville","CRC Insurance Services Inc","Deductible","Eide Industries Inc","Apparel","80","USD","13615225.00","Declined","","Out of Appetite","North America","Professional Liability - 20260","USD","0.00","David Yost","May","kgoss"
"5/1/2019","SD-PRO-ATL-19-1782113","New","Atlanta","Risk Placement Services, Inc.","Cyber Liability","Nationwide Credit Corporation","Finance","90","USD","9051228.00","Declined","","Below Minimum Premium","North America","Professional Liability - 20260","USD","0.00","David Yost","May","kgoss"
"5/1/2019","SD-PRO-ATL-19-1782115","New","Atlanta","Risk Placement Services, Inc.","Cyber Liability","Sentry Credit, Inc.","Finance","200","USD","11522185.00","Declined","","Below Minimum Premium","North America","Professional Liability - 20260","USD","0.00","David Yost","May","kgoss"
"5/1/2019","SD-PRX-ATL-19-1799376","New","Atlanta","Agency Marketing Services","Lawyers","Langdon & Emison, LLC","Other","14","USD","2270454.00","Declined","","Out of Appetite","North America","Professional Liability - 20260","USD","0.00","David Yost","May","kgoss"
"5/9/2019","SD-PRO-ATL-19-1790694","New","Atlanta","Agency Marketing Services","Deductible","Keystone Civil, Inc.","Engineering","5","USD","930739.00","Declined","","Below Minimum Premium","North America","Professional Liability - 20260","USD","0.00","David Yost","May","kgoss"
"5/31/2019","SD-PRX-ATL-19-1838306","New","Charlotte","CRC ProExec","Lawyers","Fernandez Trial Attorneys, P.A.","Other","2","USD","63660.00","Declined","","Out of Appetite","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/1/2019","SD-PRO-ATL-19-1774337","New","Atlanta","Capitol Special Risks, A Division Of SPG, LLC","Miscellaneous","Sentry Credit, Inc.","Finance","200","USD","11522185.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/6/2019","SD-PRO-ATL-19-1826816","New","Atlanta","Founders Professional LLC","Miscellaneous","Hale Investments, LLC","Finance","2","USD","80125.00","Declined","","Reservation Conflict","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/6/2019","SD-PRO-ATL-19-1806145","New","Atlanta","Founders Professional LLC","Deductible","Mitsunaga & Associates, Inc.","Engineering","59","USD","5678900.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/1/2019","SD-PRO-ATL-19-1767466","New","Atlanta","CRC Insurance Services Inc","Deductible","Method Architecture","Engineering","1","USD","45645.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/1/2019","SD-PRO-ATL-19-1771356","New","Atlanta","CRC Insurance Services Inc","Deductible","Structural Consulting Group, LLC","Engineering","10","USD","1195899.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/1/2019","SD-PRO-ATL-19-1819119","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Deductible","Gryphon Technologies","Engineering","1350","USD","166156966.00","Declined","","Out of Appetite","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/30/2019","SD-PRO-ATL-19-1852449","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Deductible","Savills Inc.","Other","587","USD","54393861.00","Working","","","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/31/2019","SD-PRO-ATL-18-1694275","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Deductible","Storm Water Program Management","","0","USD","","Quoted","","","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/31/2019","SD-PRO-ATL-19-1854692","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Deductible","Wayzata Home Products LLC","Retail","3","USD","40644.00","Declined","","Out of Appetite","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/31/2019","SD-PRX-ATL-19-1855586","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Miscellaneous","GRANT TANI BARASH & ALTMAN","Consulting","40","USD","6026021.00","Declined","","Loss History","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/31/2019","SD-PRX-ATL-19-1855588","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Miscellaneous","Provident FM, LLC","Consulting","95","USD","2705316.00","Declined","","Loss History","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/1/2019","SD-PRO-ATL-19-1821514","New","Atlanta","HULL & COMPANY INC","Deductible","Hillman Engineering Inc.","Engineering","9","USD","1523386.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/18/2019","SD-PRX-ATL-19-1817632","New","Atlanta","CRC Insurance Services Inc","Cyber Liability","NewCo","Retail","3","USD","310000.00","Declined","","Below Minimum Premium","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/31/2019","SD-PRO-ATL-19-1844782","New","Nashville","CRC Insurance Services Inc","Miscellaneous","CDS Asset Management","","0","USD","","Declined","","Unable to Match Competitors","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/2/2019","SD-PRX-ATL-19-1799375","New","Atlanta","Agency Marketing Services","Lawyers","RADEY THOMAS YON & CLARK, PA","Other","35","USD","3638605.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/1/2019","SD-PRO-ATL-19-1770310","New","Atlanta","Socius Insurance Services, Inc.","Miscellaneous","Hunter Warfield, Inc.","Finance","130","USD","20853065.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/1/2019","SD-PRO-ATL-19-1796340","New","Atlanta","R-T SPECIALTY, LLC","Deductible","F&ME Consultants","Engineering","39","USD","8383758.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/1/2019","SD-PRO-ATL-19-1765172","New","Atlanta","Edgewood Partners Insurance Center (EPIC)","Deductible","Buro Happold Consulting Engineers, PC","Engineering","0","USD","0.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/1/2019","SD-PRO-ATL-19-1796177","New","Atlanta","Edgewood Partners Insurance Center (EPIC)","Deductible","SJB Group, LLC","Other","61","USD","8271439.00","Lost/NTU","Lost/NTU","","North America","Professional Liability - 20260","USD","73207.00","David Yost","May","sbatc"
"5/16/2019","SD-PRO-ATL-19-1751541","Renewal","Atlanta","Edgewood Partners Insurance Center (EPIC)","Deductible","Kurt Swensson, Inc.","Engineering","28","USD","4247705.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/31/2019","SD-PRO-ATL-18-1690404","New","Atlanta","Edgewood Partners Insurance Center (EPIC)","Deductible","Google Landings","","0","USD","","Block","","","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/1/2019","SD-PRO-ATL-19-1770419","New","Charlotte","Rosenfeld Einstein, A Marsh and Mclennan Company","Cyber Liability","EVER GREEN ENVIRONMENTAL LLC","Other","1","USD","28409.00","Lost/NTU","Lost/NTU","","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/12/2019","SD-PRX-ATL-19-1784965","New","Atlanta","Founders Professional LLC","Lawyers","Patzik, Frank & Samotny Ltd.","Other","50","USD","45005.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/31/2019","SD-PRO-ATL-18-1690410","New","Atlanta","AmWINS Brokerage of Florida - Jacksonville","Deductible","Ritz Carlton Villas Miami Beach","","0","USD","","Quoted","","","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"5/2/2019","SD-PRO-ATL-19-1798436","New","Atlanta","Insuretrust.Com LLC","Cyber Liability","Pyrotek, Inc","Manufacturing","2437","USD","592005225.00","Declined","","Auto Close","North America","Professional Liability - 20260","USD","0.00","David Yost","May","sbatc"
"11/16/2018","SD-PRO-ATL-18-1597702","Renewal","Atlanta","E-Surety Brokerage, Inc.","Miscellaneous","Nevada Agency and Transfer Company","Consulting","15","USD","1577640.00","Bound","","","North America","Professional Liability - 20260","USD","10000.00","David Yost","Nov","iadmi"
"11/15/2018","SD-PRX-ATL-18-1658877","New","Atlanta","Risk Placement Services","Deductible","Master Consulting Engineers, Inc.","Engineering","17","USD","2184340.00","Bound","","","North America","Professional Liability - 20260","USD","25000.00","David Yost","Nov","iadmi"
"11/1/2018","SD-PRO-ATL-18-1585580","Renewal","Nashville","Worldwide Facilities, LLC","Miscellaneous","CONTINENTAL TITLE HOLDING CO","Insurance","5","USD","2855472.00","Bound","","","North America","Professional Liability - 20260","USD","51150.00","David Yost","Nov","iadmi"
"11/30/2018","SD-PRX-ATL-18-1666762","New","Atlanta","McGriff, Seibels & Williams, Inc.","Cyber Liability","Mohawk Industries Inc.","Manufacturing","42100","USD","9983634000.00","Bound","","","North America","Professional Liability - 20260","USD","102050.00","David Yost","Nov","iadmi"
